date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:47	307332/307332	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c74f6b9-4b084%22	https://technext.github.io/logistics/fonts/icomoon/fonts/icomoon.eot?10si43	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/icomoon/fonts/icomoon1a44.eot	(from https://technext.github.io/logistics/fonts/icomoon/style.css)
14:40:47	307168/307168	---M-Z	200	added ('OK')	font/ttf	etag:W/%225c74f6b9-4afe0%22	https://technext.github.io/logistics/fonts/icomoon/fonts/icomoon.ttf?10si43	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://technext.github.io/logistics/fonts/icomoon/style.css)
14:40:47	307244/307244	---M--	200	added ('OK')	font/woff	etag:%225c74f6b9-4b02c%22	https://technext.github.io/logistics/fonts/icomoon/fonts/icomoon.woff?10si43	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/icomoon/fonts/icomoon1a44.woff	(from https://technext.github.io/logistics/fonts/icomoon/style.css)
14:40:48	935341/935341	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c74f6b9-e45ad%22	https://technext.github.io/logistics/fonts/icomoon/fonts/icomoon.svg?10si43	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/fonts/icomoon/fonts/icomoon1a44.svg	(from https://technext.github.io/logistics/fonts/icomoon/style.css)
14:40:48	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c3e4500-247b%22	https://technext.github.io/logistics/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c3e4500-247b%22	https://technext.github.io/logistics/css/images/ui-bg_glass_85_dfeffc_1x400.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-bg_glass_85_dfeffc_1x400.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c3e4500-247b%22	https://technext.github.io/logistics/css/images/ui-bg_glass_75_d0e5f5_1x400.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d4889fb-247b%22	https://technext.github.io/logistics/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:49	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://technext.github.io/logistics/css/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
14:40:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f2a18c0-247b%22	https://technext.github.io/logistics/css/images/ui-icons_469bdd_256x240.png	C:/Users/garay.vahidli/Desktop/newsite/prject/technext.github.io/logistics/css/images/ui-icons_469bdd_256x240.png	(from https://technext.github.io/logistics/css/jquery-ui.css)
